scalar_rule,kappa,component,predicted_MeV,PDG2025_MSbar_2GeV_MeV,relative_residual_percent,sigma_residual
least_squares_unweighted,1.073363492801811,u,1.237813355105178,2.160000000000000,-42.693826152538072,-13.174094927068889
least_squares_unweighted,1.073363492801811,d,4.154900371420315,4.700000000000000,-11.597864437865651,-7.787137551138366
least_squares_unweighted,1.073363492801811,s,93.536417148507923,93.500000000000000,0.038948821933607,0.045521435634903
least_squares_unweighted,1.073363492801811,MAXABS,,,42.693826152538072,15.303540786003536
log_geometric_component_mean,1.346281021553534,u,1.552544538154237,2.160000000000000,-28.122938048414973,-8.677935169225192
log_geometric_component_mean,1.346281021553534,d,5.211341315408172,4.700000000000000,10.879602455493007,7.304875934402448
log_geometric_component_mean,1.346281021553534,s,117.319346219279453,93.500000000000000,25.475236598159839,29.774182774099316
log_geometric_component_mean,1.346281021553534,MAXABS,,,28.122938048414973,31.861728312879702
PDG_uncertainty_weighted,1.115660307393288,u,1.286590458417191,2.160000000000000,-40.435626925130038,-12.477279165468698
PDG_uncertainty_weighted,1.115660307393288,d,4.318627805634879,4.700000000000000,-8.114302007768535,-5.448174205216016
PDG_uncertainty_weighted,1.115660307393288,s,97.222300374659326,93.500000000000000,3.981069919421739,4.652875468324158
PDG_uncertainty_weighted,1.115660307393288,MAXABS,,,40.435626925130038,14.387993177199979
