lepton,Phi_v43_MeV,CODATA2022_reference_MeV,CODATA2022_uncertainty_MeV,absolute_residual_MeV,relative_residual_percent,APF_envelope_percent,residual_over_APF_envelope,metrology_sigma_count,v47_status
e,0.511002635788531,0.510998950690000,1.6e-10,3.68509853110321e-06,0.00072115579222369,0.0197511356903022,0.0365121177602854,23031.8658193951,inside_APF_envelope_CODATA_ledger_reaudit
mu,105.658243985341997,105.658375500000005,2.3e-06,-0.000131514658008314,-0.000124471588159439,0.0197511356903022,0.0063019965085124,57.1802860905712,inside_APF_envelope_CODATA_ledger_reaudit
tau,1776.916832008411120,1776.859999999999900,0.12,0.0568320084112202,0.00319845167380774,0.0197511356903022,0.161937608244886,0.473600070093501,inside_APF_envelope_CODATA_ledger_reaudit
